Fecha,Ultimo,Apertura,%Ultimo,%Apertura,Event,Mac,Diferencia 
1/2/2017,1255.4,1212.2,4%,5%,No,No,-1%
1/3/2017,1251.2,1248.2,0%,3%,No,No,-4%
1/4/2017,1270,1251.9,2%,0%,No,No,2%
1/5/2017,1275.4,1266.4,0%,1%,No,No,-1%
1/6/2017,1244.1,1271.6,-2%,0%,No,No,-3%
1/7/2017,1270.1,1244.4,2%,-2%,No,No,5%
1/8/2017,1320.4,1272.4,4%,2%,No,No,2%
1/9/2017,1284.8,1327.3,-3%,4%,No,No,-7%
1/10/2017,1272.4,1282.2,-1%,-3%,No,No,2%
1/11/2017,1276.7,1271.6,0%,-1%,No,No,1%
1/12/2017,1311.4,1277.9,3%,0%,No,No,2%
1/1/2018,1343.1,1311,2%,3%,No,No,0%
1/2/2018,1320.6,1348.2,-2%,3%,No,No,-4%
1/3/2018,1327.3,1311.8,1%,-3%,No,No,2%
1/4/2018,1322.3,1330.7,0%,1%,No,No,-1%
1/5/2018,1304.7,1311,-1%,-1%,No,No,-1%
1/6/2018,1257.3,1303,-4%,-1%,No,No,-2%
1/7/2018,1228.5,1256,-2%,-4%,No,No,1%
1/8/2018,1204.1,1228.2,-2%,-2%,No,No,0%
1/9/2018,1196.2,1201.8,-1%,-2%,No,No,1%
1/10/2018,1218,1196.1,2%,0%,No,No,2%
1/11/2018,1226,1219,1%,2%,No,No,-1%
1/12/2018,1284.5,1227.8,5%,1%,No,No,4%
1/1/2019,1325.2,1288.1,3%,5%,No,No,-2%
1/2/2019,1319.4,1326,0%,3%,No,No,-4%
1/3/2019,1298.5,1311.1,-2%,-1%,No,No,-1%
1/4/2019,1288.6,1297.2,-1%,-1%,No,No,1%
1/5/2019,1311.1,1285,2%,-1%,No,No,3%
1/6/2019,1416.7,1312.5,8%,2%,No,No,6%
1/7/2019,1431.8,1399.6,1%,7%,No,No,-7%
1/8/2019,1526.2,1419.2,7%,1%,No,No,6%
1/9/2019,1472.9,1531.9,-3%,8%,Si,Si,-10%
1/10/2019,1518.3,1478,3%,-4%,No,No,7%
1/11/2019,1472.7,1518.8,-3%,3%,No,No,-6%
1/12/2019,1526.5,1470.3,4%,-3%,No,No,7%
1/1/2020,1587.9,1526,4%,4%,No,No,0%
1/2/2020,1569.3,1597.8,-1%,5%,No,No,-5%
1/3/2020,1596.6,1593.8,2%,0%,No,No,3%
1/4/2020,1697.1,1589.4,6%,0%,No,No,5%
1/5/2020,1751.7,1697.1,3%,7%,No,No,-3%
1/6/2020,1805.2,1749.8,3%,3%,No,No,0%
1/7/2020,1973.9,1803.3,9%,3%,No,No,6%
1/8/2020,1974.5,1985.2,0%,10%,No,No,-9%
1/9/2020,1895.5,1977.4,-4%,0%,No,No,-4%
1/10/2020,1883.5,1891.2,-1%,-4%,No,No,3%
1/11/2020,1780.9,1891,-5%,0%,No,No,-5%
1/12/2020,1897.3,1780.3,7%,-6%,Si,Si,12%
1/1/2021,1850.3,1917.8,-2%,8%,No,No,-9%
1/2/2021,1730.1,1865,-6%,-3%,No,No,-4%
1/3/2021,1715.6,1739,-1%,-7%,No,No,6%
1/4/2021,1768.6,1709,3%,-2%,No,No,4%
1/5/2021,1905.3,1774.8,8%,4%,No,No,5%
1/6/2021,1772.4,1906.8,-7%,7%,Si,Si,-15%
1/7/2021,1814.5,1777.5,2%,-7%,No,No,9%
1/8/2021,1816.9,1814.6,0%,2%,No,No,-2%
1/9/2021,1757,1817.1,-3%,0%,No,No,-3%
1/10/2021,1784.9,1757.2,2%,-3%,No,No,5%
1/11/2021,1776.5,1785.5,0%,2%,No,No,-2%
1/12/2021,1829.7,1777.4,3%,0%,No,No,3%
1/1/2022,1796.4,1826.8,-2%,3%,No,No,-5%
1/2/2022,1902.2,1798.9,6%,-2%,No,No,8%
1/3/2022,1954,1909,3%,6%,Si,No,-3%
1/4/2022,1915.1,1942.4,-2%,2%,No,No,-5%
1/5/2022,1848.4,1894.5,-3%,-2%,No,No,-1%
1/6/2022,1812,1840,-2%,-3%,No,No,2%
1/7/2022,1771.5,1810.3,-2%,-2%,No,No,0%
1/8/2022,1721.4,1772.2,-3%,-2%,No,No,-1%
1/9/2022,1672,1708,-3%,-4%,No,No,0%
1/10/2022,1635.15,1671.45,-2%,-2%,No,No,1%
